"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Pheromosa","Bug Bite","Bug Buzz","20.468","268.5","2302.1","2842"
"Volcarona","Bug Bite","Bug Buzz","16.448","496","2207.1","3632"
"Genesect","Fury Cutter","X-Scissor","14.511","407.3","1244.4","3353"
"Genesect - Burn Drive","Fury Cutter","X-Scissor","14.511","407.3","1244.4","3353"
"Genesect - Chill Drive","Fury Cutter","X-Scissor","14.511","407.3","1244.4","3353"
"Genesect - Douse Drive","Fury Cutter","X-Scissor","14.511","407.3","1244.4","3353"
"Genesect - Shock Drive","Fury Cutter","X-Scissor","14.511","407.3","1244.4","3353"
"Vikavolt","Bug Bite","X-Scissor","15.078","360.2","1234.9","3117"
"Centiskorch","Bug Bite","Bug Buzz","14.135","407.3","1150.1","2990"
"Frosmoth","Bug Bite","Bug Buzz","14.606","322.2","1004.2","2728"
"Pinsir","Bug Bite","X-Scissor","14.07","342.4","953.7","2959"
"Escavalier","Bug Bite","Megahorn","13.811","362","953.6","2889"
"Pheromosa","Bug Bite","Lunge","16.333","214.2","933.3","2842"
"Scizor","Fury Cutter","X-Scissor","13.759","350","911.5","3001"
"Pinsir","Fury Cutter","X-Scissor","13.842","336.8","893.4","2959"
"Scyther","Fury Cutter","Bug Buzz","13.765","330.5","861.9","2706"
"Golisopod","Fury Cutter","X-Scissor","12.691","416","850.4","3162"
"Heracross","Struggle Bug","Megahorn","12.934","357","772.3","3101"
"Accelgor","Infestation","Bug Buzz","13.873","266.4","711.5","2441"
"Scyther","Fury Cutter","X-Scissor","12.877","309.1","660.1","2706"
"Durant","Bug Bite","X-Scissor","12.918","302.1","651.2","2659"
"Leavanny","Bug Bite","X-Scissor","12.421","304.1","582.8","2580"
"Scolipede","Bug Bite","Megahorn","12.641","283.4","572.4","2447"
"Galvantula","Fury Cutter","Bug Buzz","13.028","241.8","534.6","2206"
"Scolipede","Bug Bite","X-Scissor","12.234","274.2","502.1","2447"
"Accelgor","Infestation","Signal Beam","12.597","241.9","483.6","2441"
"Centiskorch","Bug Bite","Lunge","11.35","327","478.2","2990"
