"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Hydreigon","Bite","Brutal Swing","17.53","558.1","3006.5","3625"
"Ash Greninja","Feint Attack","Night Slash","18.103","407.9","2419.8","3984"
"Darkrai","Snarl","Dark Pulse","16.803","464.5","2203.3","3739"
"Darkrai","Feint Attack","Dark Pulse","16.284","450.1","1943.8","3739"
"Yveltal","Snarl","Dark Pulse","15.063","545.7","1865.1","3781"
"Yveltal","Sucker Punch","Dark Pulse","14.583","528.3","1638.4","3781"
"Hydreigon","Bite","Dark Pulse","15.056","479.4","1636.1","3625"
"Zarude","Bite","Dark Pulse","14.244","563.8","1629.6","3833"
"Tyranitar","Bite","Crunch","14.275","527.8","1535.2","3834"
"Weavile","Snarl","Foul Play","15.779","380.9","1496.2","3005"
"Urshifu (Single Strike Style)","Sucker Punch","Payback","14.551","465.3","1433.5","3606"
"Weavile","Feint Attack","Foul Play","15.127","365.1","1263.7","3005"
"Zoroark","Snarl","Foul Play","16.377","274.4","1205.2","2571"
"Grimmsnarl","Bite","Foul Play","14.666","362.1","1142.1","2850"
"Grimmsnarl","Sucker Punch","Foul Play","14.575","359.8","1114.1","2850"
"Honchkrow","Snarl","Dark Pulse","15.167","298.1","1040.1","2711"
"Houndoom","Snarl","Foul Play","14.808","320.3","1039.9","2635"
"Bisharp","Snarl","Dark Pulse","13.932","328.7","888.8","2844"
"Grimmsnarl","Bite","Dark Pulse","13.77","339.9","887.6","2850"
"Krookodile","Snarl","Crunch","13.368","370.7","885.7","3046"
"Incineroar","Snarl","Dark Pulse","13.053","397.6","884.2","2996"
"Absol","Snarl","Dark Pulse","14.976","249.7","838.9","2526"
"Grimmsnarl","Sucker Punch","Dark Pulse","13.55","334.5","832.2","2850"
"Absol","Snarl","Payback","14.539","242.5","745.1","2526"
"Galarian Moltres","Sucker Punch","Payback","11.737","444.8","719.3","3167"
"Shiftry","Snarl","Foul Play","13.583","284.6","713.1","2333"
"Pangoro","Snarl","Night Slash","12.794","330.2","691.6","2902"
"Houndoom","Snarl","Crunch","13.116","283.7","640","2635"
"Alolan Muk","Snarl","Dark Pulse","11.751","378.2","613.6","2757"
"Shiftry","Feint Attack","Foul Play","13.081","274.1","613.5","2333"
"Sharpedo","Bite","Crunch","14.701","187","593.9","2181"
"Alolan Muk","Bite","Dark Pulse","11.633","374.4","589.3","2757"
"Cacturne","Sucker Punch","Dark Pulse","13.28","224","524.7","2298"
"Greninja","Feint Attack","Night Slash","12.313","272.6","508.8","2654"
"Crawdaunt","Snarl","Night Slash","12.623","240.7","484.1","2474"
"Cacturne","Sucker Punch","Payback","12.742","215","444.7","2298"
"Scrafty","Snarl","Foul Play","10.862","318","407.5","2283"
"Sneasel","Feint Attack","Foul Play","12.078","217.3","382.9","2051"
"Skuntank","Bite","Crunch","11.105","277.5","380.1","2358"
"Drapion","Bite","Crunch","10.582","298","353.1","2453"
"Liepard","Snarl","Dark Pulse","11.739","174.5","282.3","1846"
"Morpeko","Bite","Crunch","11.495","180.1","273.6","1942"
"Morpeko","Bite","Payback","11.464","179.6","270.6","1942"
"Mandibuzz","Snarl","Foul Play","8.983","352.5","255.5","2138"
"Liepard","Snarl","Payback","11.35","168.7","246.7","1846"
"Umbreon","Snarl","Foul Play","8.719","356.4","236.3","2137"
"Murkrow","Feint Attack","Foul Play","11.744","141.3","228.9","1562"
"Thievul","Snarl","Night Slash","9.897","229.9","222.9","2136"
"Alolan Persian","Feint Attack","Foul Play","10.411","194.2","219.2","1771"
"Mightyena","Bite","Crunch","10.354","197.5","219.2","1926"
"Zweilous","Bite","Dark Pulse","10.036","199.5","201.7","1839"
"Umbreon","Feint Attack","Foul Play","8.381","342.6","201.7","2137"
"Mandibuzz","Snarl","Dark Pulse","8.285","325.1","184.9","2138"
"Murkrow","Feint Attack","Dark Pulse","10.934","131.6","172","1562"
"Umbreon","Snarl","Dark Pulse","8.05","329.1","171.7","2137"
"Alolan Persian","Feint Attack","Dark Pulse","9.72","181.3","166.5","1771"
"Umbreon","Feint Attack","Dark Pulse","7.837","320.4","154.2","2137"
"Morgrem","Bite","Foul Play","10.075","145.6","148.9","1442"
"Alolan Persian","Feint Attack","Payback","9.409","175.5","146.2","1771"
"Morgrem","Sucker Punch","Foul Play","9.924","143.4","140.2","1442"
"Sableye","Feint Attack","Foul Play","9.349","148.9","121.7","1476"
"Morgrem","Bite","Dark Pulse","9.42","136.1","113.8","1442"
"Alolan Raticate","Bite","Crunch","8.38","192.6","113.4","1705"
"Krokorok","Bite","Crunch","9.737","120.6","111.4","1418"
"Morgrem","Sucker Punch","Dark Pulse","9.197","132.9","103.4","1442"
"Zorua","Feint Attack","Foul Play","10.305","89.8","98.2","1175"
"Nuzleaf","Feint Attack","Foul Play","9.465","114.2","96.9","1227"
"Scraggy","Feint Attack","Foul Play","8.851","137.2","95.2","1372"
"Carvanha","Bite","Crunch","11.406","61.1","90.7","1020"
"Alolan Grimer","Bite","Crunch","8.694","129.9","85.3","1374"
"Carvanha","Snarl","Crunch","11.179","59.9","83.7","1020"
"Houndour","Feint Attack","Dark Pulse","9.557","92.9","81.1","1234"
"Houndour","Feint Attack","Crunch","9.367","91.1","74.9","1234"
"Zorua","Feint Attack","Dark Pulse","9.601","83.7","74","1175"
"Vullaby","Feint Attack","Foul Play","7.367","147.2","58.9","1271"
"Stunky","Bite","Crunch","7.887","100.6","49.3","1151"
"Sandile","Bite","Crunch","8.624","76.4","49","1037"
"Vullaby","Feint Attack","Dark Pulse","6.864","137.2","44.4","1271"
"Impidimp","Bite","Foul Play","7.747","64.6","30","807"
"Impidimp","Sucker Punch","Foul Play","7.558","63","27.2","807"
"Alolan Meowth","Bite","Foul Play","7.399","64.5","26.1","797"
"Impidimp","Bite","Dark Pulse","7.206","60.1","22.5","807"
"Impidimp","Sucker Punch","Dark Pulse","6.98","58.2","19.8","807"
"Alolan Meowth","Bite","Dark Pulse","6.896","60.1","19.7","797"
"Purrloin","Sucker Punch","Dark Pulse","6.645","55.2","16.2","772"
"Alolan Meowth","Bite","Night Slash","6.542","57","16","797"
"Purrloin","Sucker Punch","Night Slash","6.267","52.1","12.8","772"
"Poochyena","Snarl","Crunch","6.439","42.8","11.4","678"
"Nickit","Snarl","Night Slash","5.579","50.7","8.8","714"
