"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Eternamax Eternatus","Dragon Tail","Dragon Pulse","14.769","2488.9","8017","8187"
"Black Kyurem","Dragon Tail","Outrage","20.266","724","6026.4","4605"
"White Kyurem","Dragon Breath","Dragon Pulse","17.949","641.2","3708.1","4605"
"Rayquaza","Dragon Tail","Outrage","18.68","546.8","3564.4","3835"
"Palkia","Dragon Tail","Draco Meteor","17.91","583.2","3350.3","3991"
"Salamence","Dragon Tail","Outrage","18.271","536","3269.2","3749"
"Garchomp","Dragon Tail","Outrage","17.19","630.3","3201.8","3962"
"Zekrom","Dragon Breath","Outrage","17.419","601","3176.7","4038"
"Eternatus","Dragon Tail","Dragon Pulse","16.713","679.4","3171.9","4429"
"Salamence","Dragon Tail","Draco Meteor","17.931","526","3032.4","3749"
"Dialga","Dragon Breath","Draco Meteor","17.09","589.7","2943.7","4038"
"Reshiram","Dragon Breath","Draco Meteor","17.09","589.7","2943.7","4038"
"Dragonite","Dragon Tail","Outrage","17.229","570.5","2917.6","3792"
"Palkia","Dragon Breath","Draco Meteor","17.29","563","2909.7","3991"
"Dragonite","Dragon Tail","Draco Meteor","17.008","563.2","2770.9","3792"
"Dragapult","Dragon Tail","Outrage","17.55","493.4","2667.5","3532"
"Dragonite","Dragon Breath","Outrage","16.795","556.1","2634.6","3792"
"Haxorus","Dragon Tail","Dragon Claw","17.751","456.1","2551.2","3593"
"Dragonite","Dragon Breath","Draco Meteor","16.453","544.8","2426.4","3792"
"Dragonite","Dragon Tail","Dragon Claw","16.444","544.5","2421.1","3792"
"Latios","Dragon Breath","Dragon Claw","16.102","520","2170.7","3812"
"Dragonite","Dragon Breath","Dragon Claw","15.919","527.1","2126.6","3792"
"Dragonite","Dragon Tail","Dragon Pulse","15.774","522.3","2049.7","3792"
"Kyurem","Dragon Breath","Draco Meteor","15.688","523.6","2021.6","3575"
"Dragapult","Dragon Tail","Dragon Pulse","16.043","451.1","1862.3","3532"
"Dragonite","Dragon Breath","Dragon Pulse","15.322","507.3","1825.1","3792"
"Kyurem","Dragon Breath","Dragon Claw","15.182","506.8","1773.2","3575"
"Latias","Dragon Breath","Outrage","14.545","540.1","1662.1","3510"
"Hydreigon","Dragon Breath","Dragon Pulse","14.995","477.4","1609.8","3625"
"Tyrantrum","Dragon Tail","Outrage","15.032","447","1518.2","3128"
"Giratina (Origin Forme)","Dragon Tail","Dragon Pulse","13.777","577.5","1510.1","3683"
"Goodra","Dragon Breath","Draco Meteor","13.974","553.3","1509.9","3505"
"Zygarde (50% Forme)","Dragon Tail","Outrage","13.508","588.1","1449.7","3410"
"Alolan Exeggutor","Dragon Tail","Draco Meteor","15.134","407.6","1412.9","3014"
"Duraludon","Dragon Tail","Dragon Claw","15.058","390.8","1334.5","3067"
"Kommo-o","Dragon Tail","Dragon Claw","13.914","482.6","1300.2","3309"
"Drampa","Dragon Breath","Outrage","15.057","375.9","1283.2","2914"
"Alolan Exeggutor","Dragon Tail","Dragon Pulse","14.122","380.3","1071.2","3014"
"Giratina (Altered Forme)","Dragon Breath","Dragon Claw","11.729","584.1","942.6","3379"
"Drampa","Dragon Breath","Dragon Pulse","13.724","342.7","885.8","2914"
"Druddigon","Dragon Tail","Dragon Claw","13.64","348.5","884.4","2732"
"Flapple","Dragon Breath","Outrage","14.14","291.8","824.9","2466"
"Flygon","Dragon Tail","Dragon Claw","13.193","343.5","788.8","2661"
"Kingdra","Dragon Breath","Outrage","12.736","362.1","747.9","2641"
"Fraxure","Dragon Tail","Dragon Claw","13.829","238.4","630.5","2234"
"Dracozolt","Dragon Tail","Dragon Pulse","12.089","335.2","592.2","2621"
"Flapple","Dragon Breath","Dragon Pulse","12.88","265.8","567.9","2466"
"Dragalge","Dragon Tail","Outrage","11.881","325.8","546.4","2383"
"Dracovish","Dragon Breath","Dragon Pulse","10.699","329.7","403.8","2500"
"Drakloak","Dragon Tail","Outrage","11.503","176.3","268.3","1651"
"Shelgon","Dragon Breath","Dragon Pulse","10.567","221.9","261.8","2031"
"Tyrunt","Dragon Tail","Dragon Claw","10.603","168.6","200.9","1635"
"Zweilous","Dragon Breath","Dragon Pulse","9.974","198.3","196.8","1839"
"Dragonair","Dragon Breath","Dragon Pulse","10.146","180.6","188.7","1780"
"Drakloak","Dragon Tail","Dragon Pulse","10.479","160.6","184.8","1651"
"Altaria","Dragon Breath","Dragon Pulse","8.834","259.5","178.9","2004"
"Hakamo-o","Dragon Tail","Dragon Claw","9.663","191.1","172.4","1686"
"Hakamo-o","Dragon Tail","Dragon Pulse","9.198","181.9","141.5","1686"
"Shelgon","Dragon Breath","Twister","8.41","176.6","105","2031"
"Deino","Dragon Breath","Dragon Pulse","7.755","90.7","42.3","1062"
"Jangmo-o","Dragon Tail","Dragon Claw","7.317","89.3","35","969"
"Jangmo-o","Dragon Tail","Dragon Pulse","6.89","84.1","27.5","969"
"Dratini","Dragon Breath","Twister","6.229","62.3","15.1","1004"
