"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Xurkitree","Thunder Shock","Discharge","19.884","460.7","3622.1","3937"
"Xurkitree","Spark","Discharge","19.794","458.7","3556.8","3937"
"Zekrom","Charge Beam","Wild Charge","17.462","602.5","3207.8","4038"
"Thundurus (Therian Forme)","Volt Switch","Thunderbolt","17.927","444.5","2560.9","3659"
"Xurkitree","Thunder Shock","Thunder","17.701","410.2","2274.6","3937"
"Xurkitree","Spark","Thunder","17.547","406.6","2196.8","3937"
"Raikou","Thunder Shock","Wild Charge","16.133","522","2191.8","3452"
"Raikou","Volt Switch","Wild Charge","15.836","512.3","2034.5","3452"
"Zapdos","Thunder Shock","Thunderbolt","15.756","485.5","1899","3527"
"Electivire","Thunder Shock","Wild Charge","16.735","405.2","1898.8","3079"
"Magnezone","Spark","Wild Charge","15.677","447.6","1724.7","3205"
"Raikou","Thunder Shock","Thunderbolt","15.028","486.2","1650.1","3452"
"Zapdos","Charge Beam","Thunderbolt","15.123","466","1611.5","3527"
"Zapdos","Thunder Shock","Zap Cannon","14.95","460.6","1539.1","3527"
"Raikou","Volt Switch","Thunderbolt","14.75","477.2","1531.3","3452"
"Magnezone","Charge Beam","Wild Charge","15.198","433.9","1523","3205"
"Luxray","Spark","Wild Charge","15.642","380.5","1456.3","2888"
"Tapu Koko","Volt Switch","Thunderbolt","15.202","386.7","1358.3","3168"
"Thundurus (Therian Forme)","Volt Switch","Thunder","15.253","378.2","1342.1","3659"
"Vikavolt","Spark","Discharge","15.388","367.6","1339.7","3117"
"Luxray","Hidden Power (Electric)","Wild Charge","14.989","364.6","1228","2888"
"Zapdos","Charge Beam","Zap Cannon","14.013","431.8","1188.1","3527"
"Alolan Golem","Volt Switch","Wild Charge","13.95","422.7","1147.6","2949"
"Zapdos","Thunder Shock","Thunder","13.872","427.4","1141.1","3527"
"Toxtricity","Spark","Wild Charge","15.238","321.3","1136.8","2601"
"Thundurus  (Incarnate Forme)","Thunder Shock","Thunder","14.468","364.8","1104.8","3345"
"Thundurus  (Incarnate Forme)","Thunder Shock","Thunder Punch","14.38","362.6","1078.2","3345"
