"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Togekiss","Charm","Dazzling Gleam","14.2","486.9","1394.1","3332"
"Gardevoir","Charm","Dazzling Gleam","14.901","399.6","1322.2","3093"
"Hatterene","Charm","Dazzling Gleam","14.879","333.6","1098.8","2829"
"Sylveon","Charm","Dazzling Gleam","12.992","458.2","1004.8","3069"
"Primarina","Charm","Moonblast","13.384","399.9","958.7","3200"
"Granbull","Charm","Play Rough","14.025","315.5","870.3","2552"
"Alcremie","Charm","Dazzling Gleam","12.883","346.9","741.8","2682"
"Sylveon","Charm","Moonblast","11.909","420","709.4","3069"
"Clefable","Charm","Dazzling Gleam","11.696","331.9","531","2437"
"Sylveon","Charm","Draining Kiss","11.046","389.6","525","3069"
"Alolan Ninetales","Charm","Dazzling Gleam","11.031","305.7","410.4","2309"
"Mimikyu","Charm","Play Rough","11.436","273.4","409","2225"
"Slurpuff","Charm","Play Rough","11.154","286.6","397.7","2199"
"Galarian Rapidash","Fairy Wind","Play Rough","11.486","251.1","380.6","2461"
"Clefable","Charm","Moonblast","10.627","301.5","361.9","2437"
"Wigglytuff","Charm","Play Rough","11.179","252.5","352.8","1926"
"Wigglytuff","Charm","Dazzling Gleam","11.064","249.9","338.5","1926"
"Aromatisse","Charm","Moonblast","10.403","287.1","323.3","2341"
"Ribombee","Fairy Wind","Dazzling Gleam","11.138","211.6","292.3","2200"
"Florges","Fairy Wind","Moonblast","9.274","335","267.2","3234"
"Florges","Fairy Wind","Disarming Voice","9.171","331.3","255.6","3234"
"Aromatisse","Charm","Draining Kiss","9.689","267.4","243.2","2341"
"Galarian Weezing","Fairy Wind","Play Rough","9.684","253.6","230.3","2293"
"Slurpuff","Fairy Wind","Play Rough","9.624","247.3","220.4","2199"
"Slurpuff","Charm","Draining Kiss","9.374","240.9","198.4","2199"
"Whimsicott","Charm","Moonblast","9.672","217.9","197.2","2014"
"Mawile","Fairy Wind","Play Rough","8.858","145.8","101.3","1634"
"Slurpuff","Fairy Wind","Draining Kiss","7.147","183.6","67","2199"
"Spritzee","Charm","Draining Kiss","6.588","117.6","33.6","1252"
"Milcery","Charm","Dazzling Gleam","6.519","72.5","20.1","829"
"Cutiefly","Fairy Wind","Dazzling Gleam","6.845","61.6","19.7","888"
