"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Terrakion","Double Kick","Sacred Sword","19.461","626.2","4615.8","3698"
"Urshifu (Rapid Strike Style)","Counter","Dynamic Punch","17.406","556.6","2935.3","3606"
"Urshifu (Single Strike Style)","Counter","Dynamic Punch","17.406","556.6","2935.3","3606"
"Lucario","Counter","Aura Sphere","18.621","384.2","2480.6","2703"
"Conkeldurr","Counter","Dynamic Punch","16.852","501.7","2401.1","3337"
"Urshifu (Rapid Strike Style)","Rock Smash","Dynamic Punch","15.953","510.1","2071","3606"
"Urshifu (Single Strike Style)","Rock Smash","Dynamic Punch","15.953","510.1","2071","3606"
"Urshifu (Rapid Strike Style)","Counter","Close Combat","15.533","496.7","1861.7","3606"
"Urshifu (Single Strike Style)","Counter","Close Combat","15.533","496.7","1861.7","3606"
"Machamp","Counter","Dynamic Punch","16.211","434.6","1851.5","3056"
"Conkeldurr","Counter","Focus Blast","15.75","468.9","1832","3337"
"Galarian Zapdos","Counter","Close Combat","15.341","482.1","1740.6","3548"
"Machamp","Karate Chop","Dynamic Punch","15.931","427.1","1726.6","3056"
"Cobalion","Double Kick","Sacred Sword","14.598","553.7","1722.5","3022"
"Virizion","Double Kick","Sacred Sword","14.598","553.7","1722.5","3022"
"Buzzwole","Counter","Superpower","14.992","509.5","1716.8","3469"
"Meloetta (Pirouette Forme)","Low Kick","Close Combat","14.781","499.7","1613.7","3915"
"Terrakion","Double Kick","Close Combat","14.896","479.3","1584.3","3698"
"Hariyama","Counter","Dynamic Punch","15.19","431.1","1511","2829"
"Hawlucha","Low Kick","Flying Press","15.865","371.8","1484.6","2410"
"Urshifu (Rapid Strike Style)","Counter","Brick Break","14.626","467.7","1463.6","3606"
"Urshifu (Single Strike Style)","Counter","Brick Break","14.626","467.7","1463.6","3606"
"Pheromosa","Low Kick","Focus Blast","18.201","238.7","1439.4","2842"
"Breloom","Counter","Dynamic Punch","16.572","310.9","1414.7","2628"
"Buzzwole","Counter","Power-Up Punch","14.092","478.9","1340.3","3469"
"Keldeo","Low Kick","Close Combat","14.273","459.3","1335.5","3698"
"Blaziken","Counter","Focus Blast","15.412","342","1252.2","2848"
"Passimian","Counter","Superpower","14.347","418.2","1234.8","3033"
"Heracross","Counter","Close Combat","14.298","394.6","1153.4","3101"
"Machamp","Counter","Close Combat","14.398","386","1152","3056"
"Pheromosa","Low Kick","Close Combat","17.201","225.6","1148.3","2842"
"Sirfetch'd","Counter","Close Combat","14.925","342.2","1137.9","2985"
"Urshifu (Rapid Strike Style)","Rock Smash","Close Combat","13.722","438.8","1133.6","3606"
"Urshifu (Single Strike Style)","Rock Smash","Close Combat","13.722","438.8","1133.6","3606"
"Bewear","Low Kick","Superpower","13.899","413.8","1111","3117"
"Machamp","Counter","Cross Chop","14.209","380.9","1092.8","3056"
"Hariyama","Counter","Superpower","14.005","397.5","1091.9","2829"
"Toxicroak","Counter","Dynamic Punch","14.9","321.4","1063","2488"
"Passimian","Counter","Close Combat","13.782","401.7","1051.6","3033"
"Emboar","Low Kick","Focus Blast","14.23","360.4","1038.4","2982"
"Urshifu (Rapid Strike Style)","Rock Smash","Brick Break","13.342","426.7","1013.4","3606"
"Urshifu (Single Strike Style)","Rock Smash","Brick Break","13.342","426.7","1013.4","3606"
"Machamp","Counter","Submission","13.885","372.2","996.2","3056"
"Hariyama","Counter","Close Combat","13.41","380.6","917.7","2829"
"Machamp","Karate Chop","Close Combat","13.6","364.6","917.2","3056"
