"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Reshiram","Fire Fang","Overheat","18.075","623.7","3683","4038"
"Ho-Oh","Incinerate","Sacred Fire++","16.123","663.6","2781.5","3863"
"Darmanitan (Zen Mode)","Fire Fang","Overheat","16.241","606.6","2598.5","3738"
"Volcarona","Fire Spin","Overheat","16.993","512.4","2514.7","3632"
"Ho-Oh","Hidden Power (Fire)","Sacred Fire++","15.536","639.5","2398.2","3863"
"Darmanitan","Fire Fang","Overheat","17.742","393.9","2199.9","3105"
"Entei","Fire Fang","Overheat","15.873","545","2179.5","3473"
"Moltres","Fire Spin","Overheat","16.273","491.4","2117.7","3465"
"Heatran","Fire Spin","Flamethrower","15.492","549.1","2041.5","3754"
"Chandelure","Fire Spin","Overheat","17.129","398.1","2000.5","3268"
"Darmanitan (Zen Mode)","Incinerate","Overheat","15.202","567.7","1994.5","3738"
"Entei","Fire Spin","Overheat","15.502","532.3","1982.8","3473"
"Blaziken","Fire Spin","Blast Burn","17.247","382.8","1963.5","2848"
"Volcanion","Incinerate","Overheat","15.525","510.2","1908.9","3628"
"Emboar","Ember","Blast Burn","16.547","419.1","1898.5","2982"
"Entei","Fire Fang","Flamethrower","15.13","519.5","1799.1","3473"
"Heatran","Fire Spin","Fire Blast","14.931","529.2","1761.5","3754"
"Ho-Oh","Incinerate","Sacred Fire","14.285","588","1713.9","3863"
"Darmanitan","Incinerate","Overheat","16.593","368.4","1683","3105"
"Chandelure","Incinerate","Overheat","16.373","380.5","1670.3","3268"
"Charizard","Fire Spin","Blast Burn","15.875","416.3","1665.4","2889"
"Entei","Fire Spin","Flamethrower","14.817","508.8","1655.1","3473"
"Entei","Fire Fang","Fire Blast","14.59","501","1556","3473"
"Moltres","Fire Spin","Fire Blast","14.955","451.6","1510.4","3465"
"Typhlosion","Incinerate","Blast Burn","15.451","405.2","1494.5","2889"
"Blaziken","Fire Spin","Blaze Kick","16.084","357","1485.2","2848"
"Infernape","Fire Spin","Blast Burn","15.944","363.7","1474","2683"
"Flareon","Fire Spin","Overheat","15.724","376.8","1465","3029"
"Ho-Oh","Incinerate","Fire Blast","13.716","564.5","1456.6","3863"
"Hisuian Arcanine","Fire Fang","Flamethrower","14.929","430.8","1433.4","3145"
"Entei","Fire Spin","Fire Blast","14.218","488.2","1403.1","3473"
"Charizard","Ember","Blast Burn","15.166","397.7","1387.2","2889"
"Typhlosion","Ember","Blast Burn","15.166","397.7","1387.2","2889"
"Ho-Oh","Hidden Power (Fire)","Sacred Fire","13.446","553.4","1345.4","3863"
"Blaziken","Fire Spin","Overheat","15.592","346","1311.6","2848"
"Flareon","Fire Spin","Flamethrower","15.223","364.8","1286.8","3029"
"Arcanine","Fire Fang","Flamethrower","14.614","407.5","1272","3029"
"Pyroar","Fire Fang","Overheat","14.862","363.7","1193.7","2767"
"Magmortar","Fire Spin","Fire Punch","14.696","373.8","1186.6","3132"
"Delphox","Fire Spin","Flamethrower","14.324","397.5","1168.1","3059"
"Magmortar","Fire Spin","Fire Blast","14.636","372.3","1167.2","3132"
"Charizard","Fire Spin","Overheat","14.511","380.5","1162.6","2889"
"Ho-Oh","Hidden Power (Fire)","Fire Blast","12.896","530.8","1138.5","3863"
"Flareon","Ember","Overheat","14.601","349.9","1089.2","3029"
"Arcanine","Fire Fang","Fire Blast","14.022","391","1078.1","3029"
"Moltres","Fire Spin","Heat Wave","13.745","415","1077.8","3465"
"Flareon","Fire Spin","Fire Blast","14.487","347.2","1055.5","3029"
