"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Moltres","Wing Attack","Sky Attack","16.969","512.4","2503.9","3465"
"Ho-Oh","Hidden Power (Flying)","Brave Bird","14.743","606.8","1944.6","3863"
"Rayquaza","Air Slash","Hurricane","15.764","461.4","1807.4","3835"
"Yveltal","Gust","Hurricane","14.826","537.1","1750.1","3781"
"Rayquaza","Air Slash","Aerial Ace","15.474","452.9","1678.1","3835"
"Honchkrow","Peck","Sky Attack","16.767","329.5","1553.3","2711"
"Staraptor","Gust","Brave Bird","15.882","363.9","1457.8","2825"
"Braviary","Air Slash","Brave Bird","15.027","418","1418.3","3088"
"Staraptor","Wing Attack","Brave Bird","15.725","360.3","1401","2825"
"Galarian Moltres","Wing Attack","Brave Bird","13.62","516.2","1304","3167"
"Honchkrow","Peck","Brave Bird","15.892","312.3","1253.4","2711"
"Unfezant","Air Slash","Sky Attack","15.108","346","1193.2","2734"
"Tornadus (Incarnate Forme)","Air Slash","Hurricane","14.734","371.6","1188.5","3345"
"Tornadus (Therian Forme)","Gust","Hurricane","13.969","401.5","1094.3","3215"
"Hisuian Braviary","Air Slash","Brave Bird","14.049","380.9","1056.2","2814"
"Toucannon","Peck","Drill Peck","14.014","321","883.4","2689"
"Hawlucha","Wing Attack","Sky Attack","13.602","318.7","802.1","2410"
"Togekiss","Air Slash","Aerial Ace","12.301","421.8","785.1","3332"
"Togekiss","Hidden Power (Flying)","Aerial Ace","11.931","409.2","694.9","3332"
"Noivern","Air Slash","Hurricane","11.638","326.8","515.1","2764"
"Scyther","Air Slash","Aerial Ace","12.073","289.8","510","2706"
"Cramorant","Peck","Fly","12.047","278.3","486.5","2142"
"Swellow","Wing Attack","Sky Attack","13.058","214.1","476.7","1920"
"Corviknight","Air Slash","Brave Bird","10.825","367","465.5","2457"
"Pidgeot","Gust","Brave Bird","11.572","285","441.7","2129"
"Pidgeot","Wing Attack","Brave Bird","11.533","284","435.7","2129"
"Fearow","Peck","Sky Attack","12.36","226","426.6","1997"
"Corviknight","Air Slash","Drill Peck","10.512","356.4","414","2457"
"Chatot","Peck","Sky Attack","12.968","188.9","412","1791"
"Talonflame","Peck","Brave Bird","11.469","272","410.2","2205"
"Swellow","Wing Attack","Brave Bird","12.463","204.4","395.6","1920"
"Gliscor","Wing Attack","Aerial Ace","10.317","332.6","365.2","2692"
"Pidgeot","Air Slash","Brave Bird","10.983","270.5","358.4","2129"
"Noctowl","Wing Attack","Sky Attack","10.542","300.2","351.7","2024"
"Cramorant","Peck","Drill Peck","11.056","255.4","345.1","2142"
"Oricorio (Baile Style)","Air Slash","Hurricane","11.156","242.8","337.1","2333"
"Oricorio (Pa'u Style)","Air Slash","Hurricane","11.156","242.8","337.1","2333"
"Oricorio (Pom-Pom Style)","Air Slash","Hurricane","11.156","242.8","337.1","2333"
"Oricorio (Sensu Style)","Air Slash","Hurricane","11.156","242.8","337.1","2333"
"Oricorio (Baile Style)","Air Slash","Aerial Ace","11.083","241.2","328.3","2333"
"Oricorio (Pa'u Style)","Air Slash","Aerial Ace","11.083","241.2","328.3","2333"
"Oricorio (Pom-Pom Style)","Air Slash","Aerial Ace","11.083","241.2","328.3","2333"
"Oricorio (Sensu Style)","Air Slash","Aerial Ace","11.083","241.2","328.3","2333"
"Skarmory","Air Slash","Sky Attack","9.982","297.2","295.6","2108"
"Sigilyph","Air Slash","Air Cutter","10.508","253.5","294.1","2550"
"Crobat","Air Slash","Air Cutter","10.046","286.6","290.6","2646"
"Xatu","Air Slash","Aerial Ace","10.844","215.7","275","2188"
"Skarmory","Air Slash","Brave Bird","9.705","288.9","264.1","2108"
"Pidgeot","Gust","Hurricane","10.112","249.1","257.5","2129"
"Altaria","Peck","Sky Attack","9.643","283.3","254","2004"
"Swanna","Air Slash","Hurricane","10.463","209.2","239.6","2088"
"Oricorio (Baile Style)","Air Slash","Air Cutter","10.206","222.1","236.1","2333"
