"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Kartana","Razor Leaf","Leaf Blade","20.374","428.9","3627.7","3677"
"Zarude","Vine Whip","Power Whip","16.498","653.1","2932.7","3833"
"Shaymin (Sky Forme)","Hidden Power (Grass)","Grass Knot","16.767","505.5","2382.7","3592"
"Rillaboom","Razor Leaf","Grass Knot","15.87","483.7","1933.6","3324"
"Shaymin (Sky Forme)","Hidden Power (Grass)","Solar Beam","15.734","474.3","1847.7","3592"
"Tapu Bulu","Bullet Seed","Grass Knot","15.488","462.3","1717.5","3419"
"Tsareena","Magical Leaf","Grass Knot","15.196","423","1484.3","2964"
"Roserade","Razor Leaf","Grass Knot","15.782","372.4","1463.8","2971"
"Zarude","Vine Whip","Energy Ball","13.837","547.7","1451.2","3833"
"Tangrowth","Vine Whip","Power Whip","14.452","479","1446","3030"
"Celebi","Magical Leaf","Leaf Storm","13.967","523.4","1426","3265"
"Venusaur","Vine Whip","Frenzy Plant","14.782","429","1385.6","2720"
"Torterra","Razor Leaf","Frenzy Plant","14.33","466.3","1372.1","2934"
"Sceptile","Bullet Seed","Frenzy Plant","15.434","368.5","1355","2757"
"Tapu Bulu","Bullet Seed","Solar Beam","14.543","434.1","1335.1","3419"
"Shaymin (Sky Forme)","Hidden Power (Grass)","Seed Flare","14.486","436.7","1327.6","3592"
"Roserade","Bullet Seed","Grass Knot","15.2","358.6","1259.5","2971"
"Tangrowth","Vine Whip","Solar Beam","13.955","462.5","1256.9","3030"
"Tsareena","Razor Leaf","Grass Knot","14.557","405.2","1250","2964"
"Shaymin (Land Forme)","Hidden Power (Grass)","Grass Knot","13.495","505.7","1242.7","3265"
"Roserade","Razor Leaf","Solar Beam","14.971","353.2","1185.4","2971"
"Shaymin (Sky Forme)","Hidden Power (Grass)","Energy Ball","14.061","423.9","1178.4","3592"
"Roserade","Razor Leaf","Leaf Storm","14.946","352.7","1177.5","2971"
"Venusaur","Razor Leaf","Frenzy Plant","14.001","406.3","1115.1","2720"
"Gogoat","Vine Whip","Leaf Blade","13.739","429.8","1114.7","2798"
"Chesnaught","Vine Whip","Solar Beam","13.497","449.2","1104.4","2954"
"Leafeon","Razor Leaf","Leaf Blade","13.939","402.9","1091.3","2944"
"Rillaboom","Razor Leaf","Energy Ball","13.626","415.3","1050.6","3324"
"Breloom","Bullet Seed","Grass Knot","15.331","287.6","1036.3","2628"
"Exeggutor","Bullet Seed","Solar Beam","13.994","367.9","1008.1","3014"
"Shaymin (Land Forme)","Hidden Power (Grass)","Solar Beam","12.806","479.9","1007.9","3265"
"Celebi","Magical Leaf","Seed Bomb","12.745","477.6","988.7","3265"
"Alolan Exeggutor","Bullet Seed","Solar Beam","13.82","372.2","982.5","3014"
"Leafeon","Razor Leaf","Solar Beam","13.479","389.6","954.1","2944"
"Sceptile","Bullet Seed","Leaf Blade","14.1","336.7","943.9","2757"
"Leafeon","Bullet Seed","Leaf Blade","13.422","388","938.1","2944"
"Roserade","Bullet Seed","Solar Beam","14.091","332.5","930.2","2971"
"Simisage","Vine Whip","Grass Knot","14.606","294","916.3","2350"
"Torterra","Razor Leaf","Solar Beam","12.95","421.4","915.1","2934"
"Venusaur","Vine Whip","Solar Beam","13.281","385.4","902.9","2720"
"Roserade","Bullet Seed","Leaf Storm","13.882","327.5","876.2","2971"
"Leavanny","Razor Leaf","Leaf Blade","13.592","332.8","835.7","2580"
"Victreebel","Razor Leaf","Leaf Blade","13.968","298.1","812.3","2431"
"Exeggutor","Bullet Seed","Seed Bomb","13.166","346.1","789.9","3014"
"Alolan Exeggutor","Bullet Seed","Seed Bomb","12.981","349.6","764.8","3014"
"Leafeon","Bullet Seed","Solar Beam","12.713","367.5","755","2944"
"Shiftry","Razor Leaf","Leaf Blade","13.719","287.4","742.2","2333"
"Gogoat","Vine Whip","Seed Bomb","12.391","387.6","737.4","2798"
"Venusaur","Razor Leaf","Solar Beam","12.614","366.1","734.8","2720"
"Shaymin (Land Forme)","Hidden Power (Grass)","Seed Flare","11.813","442.7","729.6","3265"
"Simisage","Vine Whip","Solar Beam","13.783","277.5","726.5","2350"
"Tsareena","Magical Leaf","Energy Ball","12.633","351.6","708.9","2964"
"Leavanny","Razor Leaf","Leaf Storm","13.002","318.3","699.7","2580"
"Tsareena","Razor Leaf","Energy Ball","12.57","349.9","695","2964"
"Vileplume","Razor Leaf","Solar Beam","12.829","317.6","670.5","2559"
"Serperior","Vine Whip","Frenzy Plant","12.238","364.5","668.2","2277"
"Victreebel","Razor Leaf","Solar Beam","13.228","282.3","653.3","2431"
"Carnivine","Vine Whip","Power Whip","13.371","271.8","649.7","2159"
"Shiftry","Bullet Seed","Leaf Blade","13.262","277.9","648.2","2333"
"Venusaur","Vine Whip","Petal Blizzard","12.184","353.6","639.6","2720"
"Leafeon","Razor Leaf","Energy Ball","12.181","352.1","636.5","2944"
"Lurantis","Razor Leaf","Leaf Blade","12.77","304.9","634.9","2398"
"Tangela","Vine Whip","Grass Knot","12.884","292.8","626.3","2238"
"Tangela","Vine Whip","Power Whip","12.884","292.8","626.3","2238"
"Chesnaught","Vine Whip","Energy Ball","11.702","389.5","624.1","2954"
"Shaymin (Land Forme)","Hidden Power (Grass)","Energy Ball","11.353","425.5","622.6","3265"
"Breloom","Bullet Seed","Seed Bomb","13.455","252.4","614.8","2628"
"Lilligant","Hidden Power (Grass)","Solar Beam","12.816","282.7","595.2","2550"
"Decidueye","Razor Leaf","Energy Ball","12.013","325.1","563.6","2775"
"Venusaur","Razor Leaf","Petal Blizzard","11.679","339","540","2720"
"Lurantis","Razor Leaf","Leaf Storm","12.204","291.4","529.7","2398"
"Tangela","Vine Whip","Solar Beam","12.277","279","516.3","2238"
"Serperior","Vine Whip","Grass Knot","11.438","340.7","509.8","2277"
"Vileplume","Razor Leaf","Petal Blizzard","11.884","294.2","493.8","2559"
"Gourgeist - Super Size","Razor Leaf","Seed Bomb","11.044","351","472.7","2633"
"Leafeon","Bullet Seed","Energy Ball","11.206","323.9","455.7","2944"
"Bellossom","Razor Leaf","Leaf Blade","11.328","309.7","450.2","2281"
"Flapple","Bullet Seed","Seed Bomb","12.123","250.1","445.6","2466"
"Ludicolo","Razor Leaf","Leaf Storm","11.197","304.2","427.1","2323"
"Ludicolo","Razor Leaf","Solar Beam","11.196","304.2","426.9","2323"
"Gourgeist - Large Size","Razor Leaf","Seed Bomb","10.847","326.1","416.1","2521"
"Maractus","Bullet Seed","Solar Beam","12.046","237.6","415.3","2274"
"Sunflora","Razor Leaf","Leaf Storm","11.93","243.4","413.3","2141"
"Sunflora","Razor Leaf","Solar Beam","11.904","242.9","409.6","2141"
"Bellossom","Bullet Seed","Leaf Blade","10.912","298.3","387.7","2281"
"Lilligant","Hidden Power (Grass)","Petal Blizzard","11.492","253.5","384.7","2550"
"Ferrothorn","Bullet Seed","Power Whip","10.262","328.8","355.3","2321"
"Gourgeist - Average Size","Razor Leaf","Seed Bomb","10.592","298.3","354.5","2390"
"Whimsicott","Razor Leaf","Grass Knot","11.104","250.2","342.6","2014"
"Appletun","Bullet Seed","Seed Bomb","10.373","297.9","332.5","2452"
"Thwackey","Razor Leaf","Grass Knot","11.434","221.1","330.5","1876"
"Sunflora","Bullet Seed","Solar Beam","11.174","228","318.1","2141"
"Cradily","Bullet Seed","Grass Knot","10.044","313.2","317.4","2211"
"Abomasnow","Razor Leaf","Energy Ball","10.445","278.4","317.2","2362"
"Cherrim (Overcast Form)","Razor Leaf","Solar Beam","10.965","239.1","315.2","2048"
"Cherrim (Sunshine Form)","Razor Leaf","Solar Beam","10.965","239.1","315.2","2048"
"Carnivine","Vine Whip","Energy Ball","11.144","226.6","313.6","2159"
"Sunflora","Bullet Seed","Leaf Storm","11.068","225.8","306.2","2141"
"Sunflora","Razor Leaf","Petal Blizzard","11.035","225.1","302.6","2141"
"Gourgeist - Small Size","Razor Leaf","Seed Bomb","10.341","270.4","299","2254"
"Weepinbell","Razor Leaf","Power Whip","12.228","161.6","295.5","1611"
"Bellossom","Razor Leaf","Petal Blizzard","10.126","276.8","287.4","2281"
"Ludicolo","Razor Leaf","Energy Ball","10.106","274.6","283.4","2323"
"Eldegoss","Razor Leaf","Grass Knot","10.045","267.8","271.4","1995"
"Ivysaur","Vine Whip","Power Whip","10.982","204.7","271.1","1699"
"Appletun","Bullet Seed","Energy Ball","9.781","280.9","262.8","2452"
"Weepinbell","Bullet Seed","Power Whip","11.767","155.5","253.4","1611"
"Cherrim (Overcast Form)","Bullet Seed","Solar Beam","10.298","224.5","245.2","2048"
"Cherrim (Sunshine Form)","Bullet Seed","Solar Beam","10.298","224.5","245.2","2048"
"Maractus","Bullet Seed","Petal Blizzard","10.515","207.4","241.1","2274"
"Grotle","Razor Leaf","Solar Beam","10.28","220.9","240","1890"
"Tropius","Razor Leaf","Leaf Blade","9.503","279.4","239.7","1941"
"Grovyle","Bullet Seed","Leaf Blade","11.352","161.7","236.5","1673"
"Grovyle","Bullet Seed","Grass Knot","11.334","161.4","235","1673"
"Eldegoss","Bullet Seed","Grass Knot","9.658","257.5","232","1995"
"Ivysaur","Razor Leaf","Power Whip","10.468","195.1","223.8","1699"
"Ivysaur","Vine Whip","Solar Beam","10.355","193","214.3","1699"
"Roselia","Razor Leaf","Petal Blizzard","10.824","166.7","211.4","1870"
"Weepinbell","Razor Leaf","Seed Bomb","11.058","146.2","197.7","1611"
"Sunflora","Bullet Seed","Petal Blizzard","9.76","199.1","185.1","2141"
"Thwackey","Razor Leaf","Energy Ball","9.795","189.4","178","1876"
"Bellossom","Bullet Seed","Petal Blizzard","8.976","245.4","177.5","2281"
"Ivysaur","Razor Leaf","Solar Beam","9.793","182.5","171.4","1699"
"Victreebel","Razor Leaf","Leaf Tornado","9.421","201","168.1","2431"
"Grotle","Razor Leaf","Energy Ball","9.357","201.1","164.7","1890"
"Eldegoss","Razor Leaf","Energy Ball","8.697","231.9","152.5","1995"
"Weepinbell","Bullet Seed","Seed Bomb","10.359","136.9","152.2","1611"
"Shiftry","Razor Leaf","Leaf Tornado","9.147","191.7","146.7","2333"
"Dartrix","Razor Leaf","Seed Bomb","9.075","194.9","145.7","1725"
"Servine","Vine Whip","Grass Knot","9.129","179.9","136.8","1441"
"Gloom","Razor Leaf","Petal Blizzard","9.224","164.3","129","1681"
"Quilladin","Vine Whip","Energy Ball","8.882","180.2","126.3","1719"
"Nuzleaf","Razor Leaf","Grass Knot","10.03","121.1","122.1","1227"
"Nuzleaf","Razor Leaf","Leaf Blade","10.024","121","121.9","1227"
"Dartrix","Razor Leaf","Energy Ball","8.59","184.5","116.9","1725"
"Bayleef","Razor Leaf","Grass Knot","8.661","173.7","112.8","1454"
"Bellsprout","Vine Whip","Power Whip","10.867","87.1","111.8","1033"
"Eldegoss","Bullet Seed","Energy Ball","7.986","212.9","108.4","1995"
"Serperior","Vine Whip","Leaf Tornado","7.39","220.1","88.8","2277"
"Shiftry","Bullet Seed","Leaf Tornado","8.009","167.8","86.2","2333"
"Jumpluff","Bullet Seed","Solar Beam","7.522","202.6","86.2","1636"
"Pumpkaboo - Super Size","Razor Leaf","Grass Knot","8.569","134.9","84.9","1250"
"Pumpkaboo - Large Size","Razor Leaf","Grass Knot","8.649","130.7","84.6","1244"
"Pumpkaboo - Average Size","Razor Leaf","Grass Knot","8.669","124.5","81.1","1222"
"Bulbasaur","Vine Whip","Power Whip","8.963","112.1","80.7","1115"
"Pumpkaboo - Small Size","Razor Leaf","Grass Knot","8.689","119","78.1","1202"
"Lombre","Razor Leaf","Grass Knot","8.212","129.8","71.9","1197"
"Grookey","Razor Leaf","Grass Knot","8.949","100.1","71.7","1086"
"Oddish","Razor Leaf","Seed Bomb","8.498","107.1","65.7","1228"
"Bayleef","Razor Leaf","Energy Ball","7.454","149.5","61.9","1454"
"Lileep","Bullet Seed","Grass Knot","7.371","151.9","60.8","1291"
"Treecko","Bullet Seed","Grass Knot","8.551","87.3","54.6","1053"
"Turtwig","Razor Leaf","Seed Bomb","7.88","110.1","53.9","1187"
"Jumpluff","Bullet Seed","Energy Ball","6.652","179.1","52.7","1636"
"Bulbasaur","Vine Whip","Seed Bomb","8.017","100.2","51.7","1115"
"Chespin","Vine Whip","Seed Bomb","7.627","104.4","46.3","1096"
"Turtwig","Razor Leaf","Energy Ball","7.405","103.4","42","1187"
"Chikorita","Vine Whip","Grass Knot","7.279","99","38.2","935"
"Grookey","Razor Leaf","Energy Ball","7.622","85.2","37.7","1086"
"Rowlet","Razor Leaf","Seed Bomb","7.024","102.2","35.4","1058"
"Petilil","Hidden Power (Grass)","Seed Bomb","7.529","79.2","33.8","1030"
"Pansage","Vine Whip","Seed Bomb","7.329","84.3","33.2","956"
"Exeggcute","Bullet Seed","Seed Bomb","6.664","110.1","32.6","1175"
"Skiploom","Bullet Seed","Grass Knot","6.602","99.6","28.7","976"
"Fomantis","Razor Leaf","Leaf Blade","7.824","57.9","27.7","741"
"Rowlet","Razor Leaf","Energy Ball","6.589","95.9","27.4","1058"
"Fomantis","Razor Leaf","Grass Knot","7.718","57.1","26.3","741"
"Budew","Razor Leaf","Grass Knot","6.842","79.5","25.5","856"
"Petilil","Hidden Power (Grass)","Energy Ball","6.989","73.5","25.1","1030"
"Treecko","Bullet Seed","Energy Ball","7.037","71.9","25","1053"
"Pansage","Vine Whip","Energy Ball","6.808","78.3","24.7","956"
"Servine","Vine Whip","Leaf Tornado","5.862","115.5","23.3","1441"
