"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Primal Groudon","Mud Shot","Earthquake","18.485","750.7","4741.2","5227"
"Garchomp","Mud Shot","Earth Power","15.76","577.8","2262","3962"
"Landorus (Therian Forme)","Mud Shot","Earthquake","16.398","485.7","2141.5","3922"
"Groudon","Mud Shot","Earthquake","15.356","569.7","2062.8","4115"
"Garchomp","Mud Shot","Earthquake","15.056","552","1884","3962"
"Rhyperior","Mud Slap","Earthquake","14.919","564.6","1874.6","3733"
"Landorus (Incarnate Forme)","Mud Shot","Earth Power","15.75","473.7","1850.7","3588"
"Excadrill","Mud Slap","Drill Run","15.954","409.7","1663.8","3244"
"Excadrill","Mud Slap","Earthquake","15.848","407","1620.2","3244"
"Landorus (Therian Forme)","Mud Shot","Bulldoze","14.855","440","1442.4","3922"
"Excadrill","Mud Shot","Drill Run","15.139","388.8","1349.1","3244"
"Excadrill","Mud Shot","Earthquake","14.915","383","1270.8","3244"
"Rhydon","Mud Slap","Earthquake","13.817","442.3","1166.7","3179"
"Krookodile","Mud Slap","Earthquake","14.178","393.2","1120.7","3046"
"Mamoswine","Mud Slap","Bulldoze","13.983","401.5","1097.9","3328"
"Golurk","Mud Slap","Earth Power","14.294","368.8","1077.2","2854"
"Mudsdale","Mud Slap","Earthquake","13.331","419.6","994.1","3046"
"Donphan","Mud Slap","Earthquake","13.255","408.4","951.2","3013"
"Golem","Mud Slap","Earthquake","13.011","394.3","868.4","2949"
"Sandaconda","Mud Slap","Earth Power","12.835","377.7","798.6","2790"
"Swampert","Mud Shot","Earthquake","12.27","388.3","717.2","2974"
"Golem","Mud Shot","Earthquake","12.275","372","688","2949"
"Mudsdale","Mud Slap","Bulldoze","12.131","381.9","681.6","3046"
"Sandaconda","Mud Shot","Earth Power","12.322","362.6","678.3","2790"
"Flygon","Mud Shot","Earth Power","12.683","330.2","673.6","2661"
"Seismitoad","Mud Shot","Earth Power","11.924","338.6","574.1","2564"
