"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Avalanche","21.009","499","4626.6","3905"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Ice Punch","18.076","429.3","2535.8","3905"
"Galarian Darmanitan","Ice Fang","Avalanche","17.446","387.3","2056.5","3105"
"Mamoswine","Powder Snow","Avalanche","16.016","459.9","1889.3","3328"
"Glaceon","Frost Breath","Avalanche","15.075","409.7","1403.4","3126"
"Weavile","Ice Shard","Avalanche","15.335","370.1","1334.8","3005"
"Glaceon","Ice Shard","Avalanche","14.844","403.4","1319.6","3126"
"Galarian Darmanitan","Ice Fang","Ice Punch","15.023","333.5","1130.8","3105"
"Glaceon","Frost Breath","Ice Beam","13.959","379.3","1031.8","3126"
"Avalugg","Ice Fang","Avalanche","12.584","514.4","1025","3198"
"Glaceon","Ice Shard","Ice Beam","13.689","372","954.1","3126"
"Jynx","Frost Breath","Avalanche","14.482","297","901.9","2555"
"Aurorus","Frost Breath","Weather Ball Ice","12.477","431.6","838.2","2802"
"Aurorus","Powder Snow","Weather Ball Ice","12.287","425","788.4","2802"
"Beartic","Powder Snow","Ice Punch","12.861","344.3","732.3","3042"
"Vanilluxe","Frost Breath","Blizzard","12.843","335.2","710.2","2822"
"Frosmoth","Powder Snow","Ice Beam","13.307","293.6","691.7","2728"
"Articuno","Frost Breath","Blizzard","11.523","445.6","681.8","3051"
"Articuno","Frost Breath","Ice Beam","11.489","444.3","673.8","3051"
"Arctozolt","Powder Snow","Avalanche","12.398","345.7","658.9","2566"
"Articuno","Ice Shard","Ice Beam","11.261","435.5","621.9","3051"
"Regice","Frost Breath","Blizzard","10.737","494.9","612.5","3122"
"Articuno","Ice Shard","Blizzard","11.171","432","602.2","3051"
"Aurorus","Frost Breath","Blizzard","11.474","396.9","599.5","2802"
"Jynx","Frost Breath","Ice Punch","12.89","264.3","566.1","2555"
"Cloyster","Frost Breath","Avalanche","11.858","339","565.1","2547"
"Walrein","Frost Breath","Icicle Spear","11.339","386.2","563","2726"
"Mr. Rime","Ice Shard","Ice Punch","11.937","329.4","560.4","2827"
"Piloswine","Powder Snow","Avalanche","12.085","308","543.6","2345"
"Piloswine","Ice Shard","Avalanche","12.067","307.5","540.3","2345"
"Walrein","Frost Breath","Blizzard","11.168","380.4","530","2726"
"Cloyster","Ice Shard","Avalanche","11.653","333.1","527.2","2547"
"Abomasnow","Powder Snow","Weather Ball Ice","11.763","313.5","510.3","2362"
"Glaceon","Frost Breath","Icy Wind","11.667","317.1","503.5","3126"
"Walrein","Powder Snow","Icicle Spear","10.998","374.7","498.4","2726"
"Aurorus","Powder Snow","Blizzard","10.875","376.1","483.8","2802"
"Glaceon","Ice Shard","Icy Wind","11.366","308.9","453.5","3126"
"Lapras","Frost Breath","Blizzard","10.319","395.2","434.2","2641"
"Lapras","Frost Breath","Ice Beam","10.292","394.2","429.7","2641"
"Walrein","Powder Snow","Blizzard","10.582","360.5","427.2","2726"
"Alolan Ninetales","Powder Snow","Weather Ball Ice","11.069","306.8","416","2309"
"Cloyster","Frost Breath","Blizzard","10.937","312.7","409.1","2547"
"Sneasel","Ice Shard","Avalanche","12.21","219.6","399.8","2051"
"Lapras","Ice Shard","Ice Beam","10.093","386.6","397.5","2641"
"Lapras","Ice Shard","Blizzard","9.997","382.9","382.5","2641"
"Eiscue (Noice Face)","Powder Snow","Weather Ball Ice","11.54","241.7","371.4","2040"
"Cryogonal","Frost Breath","Aurora Beam","10.277","340.6","369.7","2798"
"Cloyster","Ice Shard","Blizzard","10.584","302.6","358.7","2547"
"Glalie","Frost Breath","Avalanche","10.895","274.3","354.8","2105"
"Froslass","Powder Snow","Avalanche","11.26","241.1","344.2","2040"
"Cryogonal","Ice Shard","Aurora Beam","9.999","331.5","331.4","2798"
"Glalie","Ice Shard","Avalanche","10.709","269.7","331.2","2105"
"Articuno","Frost Breath","Icy Wind","9.585","370.6","326.4","3051"
