"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Meloetta (Pirouette Forme)","Quick Attack","Hyper Beam","16.854","569.9","2728.4","3915"
"Meloetta (Aria Forme)","Quick Attack","Hyper Beam","15.725","628.6","2444.3","3972"
"Porygon-Z","Lock-On","Return","15.828","386.1","1531","3266"
"Porygon-Z","Lock-On","Hyper Beam","15.343","374.2","1351.4","3266"
"Staraptor","Quick Attack","Return","15.567","356.7","1345.5","2825"
"Porygon-Z","Lock-On","Tri-Attack","15.083","367.9","1262.2","3266"
"Bewear","Tackle","Stomp","13.07","389.1","868.7","3117"
"Ambipom","Scratch","Return","13.595","292.2","734.2","2418"
"Silvally","Tackle","Tri-Attack","11.99","409.4","705.8","2950"
"Porygon2","Lock-On","Return","12.226","352.4","644.1","2711"
"Ambipom","Scratch","Hyper Beam","12.946","278.2","603.8","2418"
"Porygon2","Lock-On","Hyper Beam","11.957","344.7","589.2","2711"
"Cinccino","Pound","Hyper Beam","12.873","253.9","541.6","2242"
"Type: Null","Tackle","Tri-Attack","11.295","360.3","519.3","2664"
"Porygon2","Lock-On","Tri-Attack","11.58","333.8","518.2","2711"
"Stantler","Tackle","Return","12.62","245.5","493.4","2164"
"Blissey","Pound","Hyper Beam","9.258","604.1","479.4","2757"
"Slaking","Yawn","Body Slam","10.571","397","468.9","4431"
"Girafarig","Tackle","Return","12.029","231","402.1","2046"
"Wigglytuff","Pound","Hyper Beam","10.933","247","322.8","1926"
"Slaking","Yawn","Hyper Beam","9.599","360.5","318.8","4431"
"Silvally","Take Down","Tri-Attack","9.813","335.1","316.6","2950"
"Stantler","Tackle","Stomp","11.256","219","312.2","2164"
"Greedent","Tackle","Body Slam","9.785","319.3","299.1","2370"
"Lopunny","Pound","Hyper Beam","10.366","267.6","298.1","2059"
"Tauros","Tackle","Horn Attack","10.201","274.7","291.6","2620"
"Miltank","Tackle","Body Slam","9.467","315.7","267.9","2354"
"Raticate","Quick Attack","Return","11.092","190.9","260.5","1730"
"Gumshoos","Take Down","Hyper Fang","10.685","207.9","253.5","2185"
"Miltank","Tackle","Stomp","9.328","311","252.5","2354"
"Type: Null","Take Down","Tri-Attack","9.25","295.1","233.6","2664"
"Dubwool","Tackle","Body Slam","9.523","268.9","232.2","2191"
"Raticate","Quick Attack","Hyper Fang","10.755","185.1","230.2","1730"
"Vigoroth","Scratch","Body Slam","10.003","227.7","227.9","1968"
"Persian","Scratch","Return","10.444","194.8","222","1689"
"Porygon","Tackle","Return","10.36","193.2","214.8","1720"
"Raticate","Quick Attack","Hyper Beam","10.304","177.3","194","1730"
