"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Eternamax Eternatus","Poison Jab","Cross Poison","13.919","2345.7","6325.9","8187"
"Nihilego","Poison Jab","Sludge Bomb","16.305","649.2","2814","3949"
"Nihilego","Acid","Sludge Bomb","16.122","641.9","2689.9","3949"
"Eternatus","Poison Jab","Cross Poison","15.779","641.5","2520","4429"
"Nihilego","Poison Jab","Gunk Shot","15.557","619.4","2332.2","3949"
"Nihilego","Acid","Gunk Shot","15.282","608.5","2171.6","3949"
"Roserade","Poison Jab","Sludge Bomb","15.849","374","1488.9","2971"
"Overqwil","Poison Jab","Sludge Bomb","14.792","406.7","1316.1","2946"
"Overqwil","Poison Sting","Sludge Bomb","14.048","386.2","1070.8","2946"
"Toxicroak","Poison Jab","Sludge Bomb","14.366","309.9","918.7","2488"
"Victreebel","Acid","Sludge Bomb","13.934","297.3","804.4","2431"
"Vileplume","Acid","Sludge Bomb","13.408","331.9","800","2559"
"Scolipede","Poison Jab","Sludge Bomb","13.507","302.8","746.1","2447"
"Alolan Muk","Poison Jab","Gunk Shot","12.248","394.2","724.4","2757"
"Muk","Poison Jab","Gunk Shot","12.248","394.2","724.4","2757"
"Muk","Acid","Gunk Shot","12.03","387.2","674","2757"
"Skuntank","Poison Jab","Sludge Bomb","12.793","319.7","669.4","2358"
"Galarian Slowbro","Poison Jab","Sludge Bomb","12.486","342.3","666.3","2445"
"Salazzle","Poison Jab","Sludge Wave","13.062","241.8","539","2479"
"Alolan Muk","Poison Jab","Sludge Wave","11.241","361.8","513.8","2757"
"Muk","Poison Jab","Sludge Wave","11.241","361.8","513.8","2757"
"Hisuian Qwilfish","Poison Jab","Sludge Bomb","12.504","256.4","501.2","2136"
"Drapion","Poison Sting","Sludge Bomb","11.48","323.3","489.1","2453"
"Nidoking","Poison Jab","Sludge Wave","11.883","290.5","487.5","2567"
"Weezing","Acid","Sludge Bomb","11.586","303.4","471.9","2293"
"Muk","Acid","Sludge Wave","10.936","352","460.4","2757"
"Galarian Slowking","Acid","Sludge Wave","10.889","340.4","439.5","2717"
"Hisuian Qwilfish","Poison Sting","Sludge Bomb","11.896","243.9","410.6","2136"
"Dragalge","Acid","Gunk Shot","11.033","302.5","406.3","2383"
"Roselia","Poison Jab","Sludge Bomb","12.628","194.5","391.7","1870"
"Nidoqueen","Poison Jab","Sludge Wave","10.661","308.8","374.2","2488"
"Salazzle","Poison Jab","Poison Fang","11.889","220.1","370","2479"
"Beedrill","Poison Jab","Sludge Bomb","11.711","209.8","336.9","1846"
"Tentacruel","Poison Jab","Sludge Wave","9.867","314.4","302.1","2422"
"Weepinbell","Acid","Sludge Bomb","12.085","159.7","281.9","1611"
"Tentacruel","Acid","Sludge Wave","9.596","305.8","270.3","2422"
"Nidoqueen","Poison Jab","Poison Fang","9.559","276.9","241.8","2488"
"Arbok","Acid","Gunk Shot","10.471","207.5","238.3","1921"
"Gloom","Acid","Sludge Bomb","10.553","188","220.9","1681"
"Seviper","Poison Jab","Poison Fang","10.439","185","210.5","2105"
"Qwilfish","Poison Sting","Sludge Wave","9.727","183.8","169.2","2051"
"Arbok","Acid","Sludge Wave","9.562","189.5","165.7","1921"
"Alolan Grimer","Poison Jab","Sludge Bomb","10.003","149.4","149.5","1374"
"Grimer","Poison Jab","Sludge Bomb","10.003","149.4","149.5","1374"
"Grimer","Acid","Sludge Bomb","9.897","147.8","143.3","1374"
"Nidorino","Poison Jab","Sludge Bomb","9.845","147.2","140.5","1393"
"Ariados","Poison Sting","Cross Poison","9.125","164.6","125","1772"
"Nidorino","Poison Sting","Sludge Bomb","9.417","140.8","117.6","1393"
"Alolan Grimer","Poison Jab","Gunk Shot","9.145","136.6","104.5","1374"
"Toxapex","Poison Jab","Gunk Shot","7.642","232.2","103.6","1685"
"Oddish","Acid","Sludge Bomb","9.245","116.5","92.1","1228"
"Bellsprout","Acid","Sludge Bomb","10.276","82.4","89.4","1033"
"Grimer","Poison Jab","Sludge","8.616","128.7","82.3","1374"
"Nidorina","Poison Sting","Sludge Bomb","8.247","144.5","81","1309"
"Grimer","Acid","Sludge","8.465","126.5","76.7","1374"
"Toxapex","Poison Jab","Sludge Wave","7.076","215","76.2","1685"
"Koffing","Acid","Sludge Bomb","8.378","122.4","72","1214"
"Croagunk","Poison Jab","Sludge Bomb","8.716","82","54.3","952"
"Skrelp","Acid","Sludge Bomb","7.972","104.3","52.8","1063"
"Croagunk","Poison Sting","Sludge Bomb","8.373","78.8","46.2","952"
"Whirlipede","Poison Sting","Sludge Bomb","6.961","122.6","41.4","1144"
"Koffing","Acid","Sludge","7.284","106.5","41.1","1214"
"Ekans","Acid","Sludge Bomb","7.967","78","39.4","927"
"Ekans","Poison Sting","Sludge Bomb","7.725","75.7","34.9","927"
"Salandit","Poison Jab","Poison Fang","7.703","75.7","34.6","1122"
"Nidoran♂","Poison Sting","Sludge Bomb","7.694","70.5","32.1","860"
"Skorupi","Poison Sting","Sludge Bomb","6.617","102.9","29.8","1009"
"Nidorina","Poison Sting","Poison Fang","6.112","107.1","24.4","1309"
"Ekans","Acid","Gunk Shot","7.045","69","24.1","927"
"Nidoran♀","Poison Sting","Sludge Bomb","6.538","76","21.2","816"
"Mareanie","Poison Sting","Gunk Shot","6.331","83.5","21.2","972"
"Ekans","Poison Sting","Gunk Shot","6.699","65.6","19.7","927"
