"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mewtwo","Confusion","Psystrike","20.918","654.9","5994.3","4178"
"Mewtwo","Psycho Cut","Psystrike","20.884","653.8","5955.4","4178"
"Mewtwo","Confusion","Psychic","19.487","610.1","4514.4","4178"
"Hoopa (Unbound)","Confusion","Psychic","19.952","536.2","4259.4","4006"
"Mewtwo","Psycho Cut","Psychic","19.193","600.9","4248.4","4178"
"Calyrex - Ice Rider","Confusion","Psychic","17.241","687","3521.3","4235"
"Lunala","Confusion","Psychic","16.793","667.4","3160.9","4035"
"Latios","Zen Headbutt","Psychic","16.546","534.3","2420.7","3812"
"Lunala","Confusion","Future Sight","15.687","623.4","2406.5","4035"
"Calyrex - Ice Rider","Confusion","Psyshock","15.655","623.8","2393.6","4235"
"Metagross","Zen Headbutt","Psychic","15.852","548","2182.7","3791"
"Hoopa (Confined)","Confusion","Psychic","16.95","446.7","2175.3","3359"
"Espeon","Confusion","Psychic","16.965","398.2","1944.3","3170"
"Alakazam","Confusion","Psychic","17.521","356.3","1916.4","3057"
"Meloetta (Aria Forme)","Confusion","Psyshock","14.755","589.8","1894.8","3972"
"Alakazam","Psycho Cut","Psychic","17.309","352","1825.5","3057"
"Latios","Zen Headbutt","Luster Purge","15.379","496.7","1806.6","3812"
"Galarian Articuno","Confusion","Future Sight","15.212","496.9","1749.1","3590"
"Tapu Lele","Confusion","Future Sight","15.543","449.8","1689","3494"
"Espeon","Zen Headbutt","Psychic","16.234","381","1630.1","3170"
"Galarian Articuno","Psycho Cut","Future Sight","14.855","485.2","1590.4","3590"
"Azelf","Confusion","Future Sight","16.275","367.5","1584.3","3210"
"Exeggutor","Confusion","Psychic","15.598","410.1","1556.3","3014"
"Tapu Lele","Confusion","Psyshock","15.228","440.7","1556","3494"
"Gallade","Confusion","Psychic","15.452","414.4","1528.9","3093"
"Gardevoir","Confusion","Psychic","15.452","414.4","1528.9","3093"
"Exeggutor","Extrasensory","Psychic","15.508","407.7","1520.7","3014"
"Azelf","Extrasensory","Future Sight","16.074","362.9","1507.2","3210"
"Latias","Zen Headbutt","Psychic","14.142","525.1","1485.1","3510"
"Celebi","Confusion","Psychic","13.903","521","1400","3265"
"Jirachi","Confusion","Psychic","13.903","521","1400","3265"
"Victini","Confusion","Psychic","13.903","521","1400","3265"
"Espeon","Confusion","Future Sight","15.621","366.6","1397.6","3170"
"Alakazam","Confusion","Future Sight","16.039","326.2","1345.8","3057"
"Exeggutor","Zen Headbutt","Psychic","14.97","393.6","1320.4","3014"
"Armored Mewtwo","Confusion","Psystrike","12.885","600","1283.5","3187"
"Gallade","Confusion","Synchronoise","14.789","396.6","1282.7","3093"
"Gardevoir","Confusion","Synchronoise","14.789","396.6","1282.7","3093"
"Hatterene","Confusion","Psychic","15.421","345.8","1268","2829"
"Hatterene","Psycho Cut","Psychic","15.255","342","1214.3","2829"
"Alakazam","Psycho Cut","Future Sight","15.632","317.9","1214.2","3057"
"Delphox","Zen Headbutt","Psychic","14.444","400.8","1207.9","3059"
"Beheeyem","Confusion","Psychic","14.666","355.1","1120.2","2753"
"Lugia","Extrasensory","Future Sight","11.84","667.6","1108.1","3703"
"Espeon","Zen Headbutt","Future Sight","14.721","345.5","1102.2","3170"
"Mr. Rime","Confusion","Psychic","14.069","388.3","1081.4","2827"
"Latias","Zen Headbutt","Mist Ball","12.941","480.5","1041.5","3510"
"Hisuian Braviary","Zen Headbutt","Psychic","13.951","378.2","1027","2814"
"Solgaleo","Zen Headbutt","Psychic Fangs","12.658","503.1","1020.4","4035"
"Hoopa (Confined)","Confusion","Psybeam","13.831","364.5","964.3","3359"
"Deoxys (Attack Forme)","Zen Headbutt","Psycho Boost","19.456","125.2","922","2580"
"Mesprit","Confusion","Future Sight","12.996","419.7","921.3","3058"
"Mr. Rime","Zen Headbutt","Psychic","13.48","372","911.3","2827"
"Mesprit","Extrasensory","Future Sight","12.854","415.1","881.5","3058"
"Espeon","Confusion","Psybeam","13.838","324.8","860.7","3170"
"Espeon","Confusion","Psychic Fangs","13.716","321.9","830.6","3170"
"Deoxys (Normal Forme)","Zen Headbutt","Psycho Boost","15.596","213.9","811.3","3160"
"Armored Mewtwo","Confusion","Future Sight","11.331","527.6","767.6","3187"
"Galarian Rapidash","Psycho Cut","Psychic","13.642","298.3","757.4","2461"
"Reuniclus","Zen Headbutt","Future Sight","12.688","368.8","753.4","2927"
"Indeedee (Male)","Extrasensory","Psychic","13.692","292.4","750.4","2443"
"Espeon","Zen Headbutt","Psybeam","13.17","309.1","706.1","3170"
"Starmie","Hidden Power (Psychic)","Psychic","13.021","305.7","674.9","2584"
"Jynx","Confusion","Psyshock","13.459","276","672.8","2555"
"Reuniclus","Hidden Power (Psychic)","Future Sight","12.301","357.6","665.7","2927"
"Galarian Slowbro","Confusion","Psychic","12.405","340","649.1","2445"
"Espeon","Zen Headbutt","Psychic Fangs","12.885","302.4","647","3170"
"Slowbro","Confusion","Psychic","11.989","374.8","645.9","2545"
"Slowking","Confusion","Psychic","11.989","374.8","645.9","2545"
