"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Rhyperior","Smack Down","Rock Wrecker","15.931","602.9","2437.8","3733"
"Rampardos","Smack Down","Rock Slide","18.413","370.8","2314.5","3298"
"Terrakion","Smack Down","Rock Slide","15.696","505.1","1953.1","3698"
"Tyranitar","Smack Down","Stone Edge","14.405","532.6","1592","3834"
"Rhyperior","Smack Down","Stone Edge","13.98","529","1445.3","3733"
"Stonjourner","Rock Throw","Rock Slide","14.048","460.9","1277.9","3218"
"Gigalith","Smack Down","Rock Slide","13.742","438.8","1138.7","3228"
"Stonjourner","Rock Throw","Stone Edge","13.43","440.6","1067.4","3218"
"Tyrantrum","Rock Throw","Stone Edge","13.588","404","1013.7","3128"
"Aerodactyl","Rock Throw","Rock Slide","14.032","347.4","959.7","2783"
"Omastar","Rock Throw","Rock Slide","13.027","365.2","807.3","2786"
"Alolan Golem","Rock Throw","Stone Edge","12.703","384.9","789.1","2949"
"Golem","Rock Throw","Stone Edge","12.703","384.9","789.1","2949"
"Lycanroc (Dusk Form)","Rock Throw","Stone Edge","13.855","292.1","776.9","2678"
"Lycanroc (Midday Form)","Rock Throw","Stone Edge","13.855","292.1","776.9","2678"
"Lycanroc (Midnight Form)","Rock Throw","Stone Edge","13.195","325.7","748.3","2744"
"Alolan Golem","Rock Throw","Rock Blast","12.278","372.1","688.6","2949"
"Golem","Rock Throw","Rock Blast","12.278","372.1","688.6","2949"
"Regirock","Rock Throw","Stone Edge","10.891","502","648.5","3122"
"Alolan Golem","Rollout","Stone Edge","12.012","364","630.8","2949"
"Diancie","Rock Throw","Rock Slide","11.836","374.6","621.1","2734"
"Aggron","Smack Down","Stone Edge","11.426","403.3","601.5","3000"
"Omastar","Rock Throw","Rock Blast","12.043","337.6","589.6","2786"
"Aerodactyl","Rock Throw","Ancient Power","12.411","307.2","587.3","2783"
"Golem","Rock Throw","Ancient Power","11.792","357.3","585.9","2949"
"Alolan Golem","Rollout","Rock Blast","11.749","356","577.4","2949"
"Diancie","Rock Throw","Power Gem","11.559","365.8","564.9","2734"
"Minior (Core)","Rollout","Power Gem","13.136","226.3","512.9","2292"
"Crustle","Smack Down","Rock Slide","11.584","323.2","502.4","2542"
"Omastar","Rock Throw","Ancient Power","11.568","324.3","502","2786"
"Lunatone","Rock Throw","Rock Slide","11.608","300.4","470","2327"
"Solrock","Rock Throw","Rock Slide","11.608","300.4","470","2327"
"Aggron","Smack Down","Rock Tomb","10.661","376.3","455.9","3000"
"Aurorus","Rock Throw","Ancient Power","10.649","368.3","444.7","2802"
"Carracosta","Rock Throw","Ancient Power","10.822","308.9","391.4","2621"
"Crustle","Smack Down","Rock Blast","10.786","300.9","377.6","2542"
"Sudowoodo","Rock Throw","Rock Slide","10.824","268.3","340.2","2148"
"Minior (Core)","Rollout","Ancient Power","11.849","204.1","339.5","2292"
"Boldore","Smack Down","Rock Slide","11.013","225.8","301.7","2029"
"Coalossal","Smack Down","Rock Slide","9.348","355.1","290","2352"
"Sudowoodo","Rock Throw","Stone Edge","10.298","255.3","278.8","2148"
"Graveler","Rock Throw","Rock Slide","10.629","212.6","255.2","1897"
"Boldore","Smack Down","Stone Edge","10.29","211","229.9","2029"
"Coalossal","Smack Down","Rock Blast","8.674","329.5","215","2352"
"Probopass","Rock Throw","Rock Slide","8.811","301.5","206.2","2080"
"Alolan Graveler","Rock Throw","Stone Edge","10.041","200.8","203.3","1897"
"Graveler","Rock Throw","Stone Edge","10.041","200.8","203.3","1897"
"Sudowoodo","Rock Throw","Rock Tomb","9.475","234.9","199.8","2148"
"Alolan Graveler","Rock Throw","Rock Blast","9.85","197","188.3","1897"
"Graveler","Rock Throw","Rock Blast","9.85","197","188.3","1897"
"Magcargo","Rock Throw","Stone Edge","8.663","188.2","122.4","1702"
"Magcargo","Rock Throw","Rock Tomb","8.021","174.3","89.9","1702"
"Alolan Geodude","Rock Throw","Rock Slide","8.816","121.4","83.2","1293"
"Geodude","Rock Throw","Rock Slide","8.816","121.4","83.2","1293"
"Carkol","Smack Down","Rock Slide","7.608","186.2","82","1512"
"Bonsly","Rock Throw","Rock Slide","8.412","131.3","78.2","1302"
"Minior (Meteor Form)","Rollout","Power Gem","7.374","181.8","72.9","1542"
"Carkol","Smack Down","Rock Blast","7.077","173.2","61.4","1512"
"Carbink","Rock Throw","Rock Slide","6.551","207.3","58.3","1467"
"Roggenrola","Smack Down","Power Gem","7.895","110.3","54.3","1205"
"Carbink","Rock Throw","Power Gem","6.398","202.4","53","1467"
"Alolan Geodude","Rock Throw","Rock Tomb","7.724","106.4","49","1293"
"Geodude","Rock Throw","Rock Tomb","7.724","106.4","49","1293"
"Minior (Meteor Form)","Rollout","Ancient Power","6.634","163.6","47.8","1542"
"Bastiodon","Smack Down","Stone Edge","6.003","213.2","46.1","1539"
"Bonsly","Rock Throw","Rock Tomb","7.354","114.8","45.7","1302"
