"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Zacian - Crowned Sword","Metal Claw","Iron Head","18.861","690.9","4635.8","4979"
"Metagross","Bullet Punch","Meteor Mash","17.983","621.7","3615.5","3791"
"Dialga","Metal Claw","Iron Head","15.968","551","2243.1","4038"
"Zamazenta - Crowned Shield","Metal Claw","Iron Head","14.435","636.6","1914.7","4172"
"Genesect","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Burn Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Chill Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Douse Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Shock Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Excadrill","Metal Claw","Iron Head","15.402","395.6","1445.4","3244"
"Metagross","Bullet Punch","Flash Cannon","13.563","468.9","1169.7","3791"
"Bisharp","Metal Claw","Iron Head","13.716","323.6","835","2844"
"Duraludon","Metal Claw","Flash Cannon","13.36","346.7","826.8","3067"
"Scizor","Bullet Punch","Iron Head","13.399","340.8","820","3001"
"Aggron","Iron Tail","Heavy Slam","12.16","429.2","771.7","3000"
"Cobalion","Metal Claw","Iron Head","11.524","437.1","669","3022"
"Durant","Metal Claw","Iron Head","12.848","300.5","637.3","2659"
"Empoleon","Metal Claw","Flash Cannon","11.982","354.3","609.6","2900"
"Lucario","Bullet Punch","Flash Cannon","12.549","258.9","511.8","2703"
"Perrserker","Metal Claw","Iron Head","11.814","271.4","447.4","2386"
"Corviknight","Steel Wing","Iron Head","10.399","352.5","396.4","2457"
"Alolan Sandslash","Metal Claw","Gyro Ball","10.351","295.7","327.9","2432"
"Steelix","Iron Tail","Heavy Slam","9.389","366.5","303.4","2414"
"Alolan Dugtrio","Metal Claw","Iron Head","11.989","164.6","283.7","1897"
"Lairon","Metal Claw","Heavy Slam","10.244","257.4","276.8","2056"
"Lairon","Iron Tail","Heavy Slam","10.034","252.1","254.8","2056"
"Ferrothorn","Metal Claw","Flash Cannon","9.29","297.7","238.6","2321"
"Registeel","Metal Claw","Flash Cannon","8.533","364.2","226.2","2447"
"Skarmory","Steel Wing","Flash Cannon","9.124","271.6","206.3","2108"
"Galarian Stunfisk","Metal Claw","Flash Cannon","8.731","287.4","191.3","2162"
"Ferrothorn","Metal Claw","Mirror Shot","8.712","279.2","184.6","2321"
"Metang","Metal Claw","Gyro Ball","8.341","187.9","109.1","1721"
"Aron","Metal Claw","Iron Head","7.838","129","62.1","1307"
"Alolan Sandshrew","Metal Claw","Gyro Ball","7.739","117.6","54.5","1293"
"Bastiodon","Iron Tail","Flash Cannon","5.933","210.7","44","1539"
"Galarian Meowth","Metal Claw","Gyro Ball","7.343","82.9","32.8","1035"
"Ferroseed","Metal Claw","Iron Head","5.713","95.7","17.8","941"
"Ferroseed","Metal Claw","Gyro Ball","5.445","91.2","14.7","941"
"Shieldon","Iron Tail","Heavy Slam","5.382","91.8","14.3","890"
"Ferroseed","Metal Claw","Flash Cannon","5.379","90.1","14","941"
