"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Primal Kyogre","Waterfall","Surf","19.789","803.7","6228.4","5227"
"Primal Kyogre","Waterfall","Hydro Pump","19.192","779.4","5510.1","5227"
"Ash Greninja","Bubble","Surf","20.672","465.8","4114.5","3984"
"Ash Greninja","Bubble","Hydro Pump","19.39","436.9","3185.4","3984"
"Kyogre","Waterfall","Surf","16.447","610.2","2714.9","4115"
"Kyogre","Waterfall","Hydro Pump","15.91","590.3","2377.2","4115"
"Swampert","Water Gun","Hydro Cannon","15.61","494","1879.1","2974"
"Kingler","Bubble","Crabhammer","16.982","371.9","1821.4","2829"
"Feraligatr","Water Gun","Hydro Cannon","15.255","457.7","1624.9","2857"
"Samurott","Waterfall","Hydro Cannon","15.541","428.5","1608.5","2826"
"Volcanion","Water Gun","Hydro Pump","14.749","484.7","1555","3628"
"Empoleon","Waterfall","Hydro Cannon","15.13","447.4","1549.5","2900"
"Clawitzer","Water Gun","Crabhammer","15.736","383.9","1495.9","2763"
"Feraligatr","Waterfall","Hydro Cannon","14.793","443.9","1436.8","2857"
"Wishiwashi (School Form)","Waterfall","Surf","15.337","391.2","1411.2","3232"
"Inteleon","Water Gun","Surf","16.21","330.3","1406.7","2964"
"Wishiwashi (School Form)","Water Gun","Surf","15.187","387.3","1356.7","3232"
"Gyarados","Waterfall","Hydro Pump","14.23","458.5","1321.3","3391"
"Gyarados","Waterfall","Aqua Tail","13.893","447.7","1200.5","3391"
"Crawdaunt","Waterfall","Crabhammer","15.736","300","1169.1","2474"
"Wishiwashi (School Form)","Waterfall","Aqua Tail","14.526","370.5","1135.4","3232"
"Manaphy","Bubble","Surf","13.161","493.2","1124.3","3265"
"Manaphy","Waterfall","Surf","13.156","493","1122.6","3265"
"Primarina","Waterfall","Hydro Pump","13.836","413.4","1094.8","3200"
"Wishiwashi (School Form)","Water Gun","Aqua Tail","14.165","361.3","1026.7","3232"
"Swampert","Water Gun","Surf","13.134","415.6","941.6","2974"
"Wishiwashi (School Form)","Waterfall","Brine","13.814","352.3","928.7","3232"
"Samurott","Waterfall","Razor Shell","13.502","372.3","916.4","2826"
"Drednaw","Waterfall","Surf","13.499","372.3","915.6","2838"
"Vaporeon","Water Gun","Hydro Pump","12.657","451.4","915.3","3114"
